p_z,p_n,p_symbol,p_energy,d_z,d_n,d_symbol,bin_en,dn_de,unc_dn_de,dn_de_nu,unc_dn_de_nu,extraction_date
18,21,Ar,0,19,20,K,511,0.000260961,0.0000369216,0.00223113,0.00000132994,2025-09-02
18,21,Ar,0,19,20,K,512,0.000252525,0.0000366474,0.00222636,0.00000160449,2025-09-02
18,21,Ar,0,19,20,K,513,0.000244186,0.0000363623,0.00222154,0.00000187948,2025-09-02
18,21,Ar,0,19,20,K,514,0.000235947,0.0000360659,0.00221667,0.00000215465,2025-09-02
18,21,Ar,0,19,20,K,515,0.000227809,0.0000357582,0.00221176,0.00000242972,2025-09-02
18,21,Ar,0,19,20,K,516,0.000219776,0.0000354391,0.0022068,0.0000027044,2025-09-02
18,21,Ar,0,19,20,K,517,0.000211848,0.0000351085,0.00220179,0.00000297831,2025-09-02
18,21,Ar,0,19,20,K,518,0.000204028,0.000034766,0.00219674,0.00000325107,2025-09-02
18,21,Ar,0,19,20,K,519,0.000196317,0.0000344118,0.00219164,0.00000352222,2025-09-02
18,21,Ar,0,19,20,K,520,0.000188719,0.0000340455,0.0021865,0.00000379124,2025-09-02
18,21,Ar,0,19,20,K,521,0.000181235,0.0000336671,0.00218131,0.00000405755,2025-09-02
18,21,Ar,0,19,20,K,522,0.000173867,0.0000332764,0.00217607,0.00000432049,2025-09-02
18,21,Ar,0,19,20,K,523,0.000166617,0.0000328732,0.00217079,0.00000457931,2025-09-02
18,21,Ar,0,19,20,K,524,0.000159488,0.0000324575,0.00216547,0.00000483316,2025-09-02
18,21,Ar,0,19,20,K,525,0.000152482,0.0000320291,0.00216011,0.00000508109,2025-09-02
18,21,Ar,0,19,20,K,526,0.0001456,0.0000315878,0.0021547,0.00000532198,2025-09-02
18,21,Ar,0,19,20,K,527,0.000138846,0.0000311335,0.00214925,0.00000555459,2025-09-02
18,21,Ar,0,19,20,K,528,0.00013222,0.0000306661,0.00214376,0.0000057775,2025-09-02
18,21,Ar,0,19,20,K,529,0.000125727,0.0000301853,0.00213823,0.00000598908,2025-09-02
18,21,Ar,0,19,20,K,530,0.000119367,0.0000296911,0.00213266,0.00000618748,2025-09-02
18,21,Ar,0,19,20,K,531,0.000113143,0.0000291833,0.00212706,0.00000637056,2025-09-02
18,21,Ar,0,19,20,K,532,0.000107058,0.0000286617,0.00212142,0.00000653589,2025-09-02
18,21,Ar,0,19,20,K,533,0.000101114,0.0000281262,0.00211576,0.00000668066,2025-09-02
18,21,Ar,0,19,20,K,534,0.0000953121,0.0000275766,0.00211007,0.00000680165,2025-09-02
18,21,Ar,0,19,20,K,535,0.0000896561,0.0000270129,0.00210435,0.00000689511,2025-09-02
18,21,Ar,0,19,20,K,536,0.0000841478,0.0000264347,0.00209861,0.00000695675,2025-09-02
18,21,Ar,0,19,20,K,537,0.0000787897,0.0000258421,0.00209286,0.00000698154,2025-09-02
18,21,Ar,0,19,20,K,538,0.0000735842,0.0000252347,0.0020871,0.00000696369,2025-09-02
18,21,Ar,0,19,20,K,539,0.0000685337,0.0000246125,0.00208134,0.00000690305,2025-09-02
18,21,Ar,0,19,20,K,540,0.0000636407,0.0000239753,0.00207558,0.00000699526,2025-09-02
18,21,Ar,0,19,20,K,541,0.0000589075,0.000023323,0.00206983,0.00000705597,2025-09-02
18,21,Ar,0,19,20,K,542,0.0000543368,0.0000226553,0.0020641,0.00000708025,2025-09-02
18,21,Ar,0,19,20,K,543,0.000049931,0.0000219722,0.0020584,0.00000706234,2025-09-02
18,21,Ar,0,19,20,K,544,0.0000456926,0.0000212734,0.00205275,0.00000699552,2025-09-02
18,21,Ar,0,19,20,K,545,0.0000416242,0.0000205588,0.00204716,0.00000687197,2025-09-02
18,21,Ar,0,19,20,K,546,0.0000377283,0.0000198283,0.00204165,0.00000668249,2025-09-02
18,21,Ar,0,19,20,K,547,0.0000340074,0.0000190816,0.00203624,0.00000641632,2025-09-02
18,21,Ar,0,19,20,K,548,0.0000304643,0.0000183187,0.00203094,0.00000606075,2025-09-02
18,21,Ar,0,19,20,K,549,0.0000271014,0.0000175393,0.0020258,0.00000560086,2025-09-02
18,21,Ar,0,19,20,K,550,0.0000239214,0.0000167433,0.00202084,0.00000501899,2025-09-02
18,21,Ar,0,19,20,K,551,0.0000209269,0.0000159305,0.00201609,0.00000429438,2025-09-02
18,21,Ar,0,19,20,K,552,0.0000181206,0.0000151008,0.00201161,0.00000493223,2025-09-02
18,21,Ar,0,19,20,K,553,0.0000155052,0.000014254,0.00200745,0.00000757483,2025-09-02
18,21,Ar,0,19,20,K,554,0.0000130834,0.00001339,0.00200366,0.0000106021,2025-09-02
